Ticker,Date/Time,PropNet,PropNet_5,PropNet_20,PropNet_YTD,ForeignNet,ForeignNet_5,ForeignNet_20,ForeignNet_YTD,Change_1D_percent,Change_5D_percent,Change_20D_percent,Close_price,Absolute Total (for rank only),RS_ngan_han
MSB,22/05/2026 00:00,0.83,-3.7,-2.87,-23.44,-1553.58,-1496.71,-1303.7,-1590.39,-0.35,3.6,15.66,14.4,1554.42,93
VIC,22/05/2026 00:00,41.6,389.59,246.4,159.89,-248.02,-426.15,-411.41,-9801.55,-1.01,-5.04,11.77,216.5,289.62,22
HPG,22/05/2026 00:00,13.59,-96.01,155.97,-1014.45,-234.06,-507.24,-1772.76,4565.98,-0.75,-0.75,-6.02,26.35,247.65,27
VHM,22/05/2026 00:00,16.65,250.16,333.84,484.02,-231.91,-289.25,-2221.87,-12637.26,-3.75,-2.66,5.49,153.8,248.55,11
MBB,22/05/2026 00:00,-9.98,11.76,63.97,250.62,-146.76,-768.32,-743.14,2992.14,-0.6,-3.9,-6.27,24.65,156.75,13
MWG,22/05/2026 00:00,-29,-115.06,-455.95,-153.16,-97.1,-321.16,-23.18,1460.04,-0.13,-3.17,-7.24,79.4,126.1,12
VNM,22/05/2026 00:00,4.69,-45.66,-48.06,148.69,-96.11,-222.55,-235.25,-2882.89,0.85,-0.5,-3.41,59.5,100.8,43
GEX,22/05/2026 00:00,6.23,0.86,-202.38,-57.85,-91.3,-30.78,362.18,-125.12,-6.29,-6.02,18.01,32.8,97.53,47
SSI,22/05/2026 00:00,-20.61,18.09,-76.04,72.03,-75.21,-262.54,-80.74,-559.11,1.66,-1.25,-2.65,27.55,95.82,39
VIX,22/05/2026 00:00,9.45,48.88,26.02,44.61,-58.2,-11.22,85.54,-433.88,-2.88,-1.07,8.8,18.55,67.65,65
STB,22/05/2026 00:00,-16.43,133.01,-65.04,-1110.74,-54.69,-195.34,-623.56,-3605.44,0.56,-2.33,5.17,71.2,71.12,32
KDH,22/05/2026 00:00,0.1,-11.11,8.66,117.07,-38.97,-93.67,-690.81,-780.35,-0.67,-5.13,-13.62,22.2,39.06,3
PC1,22/05/2026 00:00,0,-0.02,-22.08,-61.32,-38.93,-94.58,-459.15,-21.23,1.48,15.41,-21.52,20.6,38.93,98
PLX,22/05/2026 00:00,0.18,-0.02,-58.45,16.75,-35.35,-58.29,-97.4,-319.73,-2.33,-0.59,6.61,41.95,35.53,97
PVD,22/05/2026 00:00,-0.31,-0.27,2.77,-205.3,-32.01,-154.75,-401.37,-423.54,-3.66,-6.38,-2.92,31.55,32.32,82
CTG,22/05/2026 00:00,32.06,-51.76,35.56,230.71,-31.51,-186.29,-542.22,-1739.6,-0.43,-2.79,-0.14,34.8,63.58,25
VCI,22/05/2026 00:00,7.64,23.72,-29.65,-130.14,-31.45,-70.72,-268.19,597.65,1.63,-2.34,-6.72,25,39.09,27
BID,22/05/2026 00:00,0.31,64.36,68.53,148.8,-29.25,92.06,-1.38,-1534,-1.83,0.12,6.44,43,29.56,75
PDR,22/05/2026 00:00,0.01,-0.35,11.13,22.17,-28.02,-5.91,8.53,-318.06,-1.56,-4.53,-2.17,15.8,28.03,31
VIB,22/05/2026 00:00,0.81,-96.25,-140.31,-195.62,-24.71,-35.13,-104.25,-159.63,-1.26,-2.48,-3.73,15.7,25.52,46
VPB,22/05/2026 00:00,-13.21,-74.63,-66.69,-420.79,-24.41,2.3,-217.86,-78.87,-0.74,-2.72,-0.99,26.8,37.62,42
TCB,22/05/2026 00:00,-9.5,-49.3,-143.39,-943.27,-20.98,-228.2,-453.38,-499.99,-0.16,-3.45,0.54,32.2,30.48,36
IDC,22/05/2026 00:00,0,0,5.22,37.89,-19.91,-73.3,2.95,874.18,-1.36,-0.68,-5.83,43.6,19.91,16
VPX,22/05/2026 00:00,1.36,34.34,95.75,-456.53,-19.33,-58.05,-181.1,-407.37,0.73,-1.08,-2.31,27.5,20.69,68
VJC,22/05/2026 00:00,-1.96,-0.34,-10.65,43.39,-18.45,-3.35,-109.76,-1294.81,-1.96,-0.7,-3.19,170.1,20.41,29
TCH,22/05/2026 00:00,-0.28,3.62,9.74,15.61,-18.24,-48.85,-201.22,-29.95,0.32,-6.85,-6.29,15.65,18.52,5
KBC,22/05/2026 00:00,0,-5.65,259.83,1027.65,-17.92,-31.96,-284.68,-540.19,-0.32,-1.72,-7.76,31.5,17.92,10
VCB,22/05/2026 00:00,5.88,-104.48,-121.63,-454.2,-15.75,1274.98,386.33,-4749.69,-2.16,4.61,6.54,63.5,21.63,89
ACV,22/05/2026 00:00,0,-0.36,-0.36,-23.12,-15.5,-101.65,-317.19,-1012.19,0,0.23,-2.86,44.1,15.5,59
TCX,22/05/2026 00:00,0,0,0.67,-6.38,-15.28,-98.94,-185.32,1085.06,1.59,-0.39,0,51,15.28,68
BSR,22/05/2026 00:00,2.04,-9.61,-19.73,-13.27,-15.09,53.36,232.38,746.32,-3.26,-6.46,13.79,29.7,17.13,99
PNJ,22/05/2026 00:00,6.51,41.91,34.23,-100.03,-14.83,-125.39,-303.24,-328.07,0.31,-2.67,-12.2,65.5,21.34,10
GEE,22/05/2026 00:00,-1.64,-199.26,-666.52,10.03,-13.05,24.49,175.64,377.42,-4.14,-10.08,1.28,108.8,14.7,0
FUEVFVND,22/05/2026 00:00,8.23,37.58,-178.69,961.47,-11.62,-56.52,121.93,-1211.35,0.17,-2.05,-4.65,35.9,19.85,34
PVS,22/05/2026 00:00,0,0,24.66,-58.85,-11.55,-117.55,-124.15,188.79,-1.24,-2.68,3.64,39.9,11.55,84
DCM,22/05/2026 00:00,2.48,6.7,38.57,-101.44,-10.11,-106.41,58.35,1404.51,0.36,-4.91,-7.04,41.6,12.6,85
EIB,22/05/2026 00:00,2.17,-4.41,85.15,255.05,-9.89,-18.96,-101.01,-54.51,-0.93,-2.97,-7.63,21.2,12.06,21
VPL,22/05/2026 00:00,0.19,-0.18,-0.66,1.79,-9,19.97,152.36,1230.11,-0.11,5.66,11.59,93.4,9.19,81
E1VFVN30,22/05/2026 00:00,3.46,28.89,191.81,450.23,-8.82,-37.75,-171.19,-775.2,-0.5,-1.92,1.1,35.82,12.27,43
BVH,22/05/2026 00:00,0,-0.08,-0.08,-3.75,-8.77,2.02,-35.29,249.78,-0.28,7.3,1.12,72,8.77,95
DGW,22/05/2026 00:00,0.12,-0.16,2.38,-186.53,-7.31,30.04,-82.99,76.38,-1.08,-2.71,-7.14,41.25,7.43,41
GEL,22/05/2026 00:00,0,0,-415.77,-215.06,-7.04,-6.13,1.4,359,-0.93,-3.64,-3.34,31.8,7.04,47
MSN,22/05/2026 00:00,-13.52,-72.78,-122.44,27.56,-6.71,-128.53,652.73,2732.32,-0.26,-1.94,-3.8,76,20.23,15
VTP,22/05/2026 00:00,1.68,-34.49,-24.46,-241.48,-6.47,3.24,-26.29,-11.17,-2.76,2.92,-3.87,67,8.16,76
FRT,22/05/2026 00:00,0,22.4,51.36,191.55,-6.3,-41.48,-142.63,-230.12,-1.6,-3.51,-14.37,129.3,6.3,2
BCM,22/05/2026 00:00,0,0,1.04,-1.1,-5.93,-47.37,-68.32,-899.52,-0.73,0.19,-2.7,54.1,5.93,80
VGC,22/05/2026 00:00,0,11.62,27.82,247.8,-5.32,-18.96,-130.99,-271.7,-1.38,-2.05,-2.93,43,5.32,36
DXG,22/05/2026 00:00,-3.69,-0.99,0.81,-87.8,-4.89,-33.59,22.29,-898.65,1.37,-8.1,0.34,14.75,8.58,19
TAL,22/05/2026 00:00,0.13,0.79,0.94,6.15,-4.48,-13.67,-10.21,73.18,0.34,-3.81,-0.23,44.2,4.61,77
NAF,22/05/2026 00:00,0,0,-7.09,-5.16,-4.4,11.72,-31.24,5.39,1.35,5.21,3.75,52.5,4.4,92
HDG,22/05/2026 00:00,5.67,16.1,33.22,42.43,-4.28,-22.87,-184.63,-227.71,-1.49,-6.46,-17.17,23.15,9.95,4
MBS,22/05/2026 00:00,0,0,0,19.83,-4.04,13.73,9.84,-446.78,2.07,1.55,-1.5,19.7,4.04,72
SZC,22/05/2026 00:00,0,0,0,0.54,-3.94,-21.53,-28.8,70.25,-1.2,-4.63,-12.87,24.7,3.94,6
HDC,22/05/2026 00:00,0,0,0.12,1.49,-3.73,-11.5,-10.21,-60.95,1.41,-4.76,-2.7,18,3.73,35
NLG,22/05/2026 00:00,0.33,-1.06,-1.6,-10.96,-3.59,-32.67,-174.38,-581.53,0.99,-3.77,-9.41,25.5,3.92,26
CII,22/05/2026 00:00,0,1.87,6.78,-0.01,-3.35,-19.41,-25.94,-186.64,2.27,-5.76,-3.23,18,3.35,41
CTD,22/05/2026 00:00,0.23,0.33,23.4,5.86,-3.02,-108.65,-300.21,-299.03,-0.81,-3.66,-9.23,73.8,3.24,24
DSE,22/05/2026 00:00,0,-0.05,-0.05,-0.03,-3.01,-9.91,-12.71,-27.24,2.73,0.67,-4.64,22.6,3.01,72
HHP,22/05/2026 00:00,0,0,0,0,-2.79,-1.84,-2.34,2.29,-0.67,2.42,15.18,14.8,2.79,87
SAB,22/05/2026 00:00,-0.79,1.44,7,-2.44,-2.71,10.31,30.47,-19.8,0.21,-0.93,6.53,48.1,3.5,86
SBT,22/05/2026 00:00,0.3,0.25,-0.05,-30.65,-2.64,6.69,2.77,-52.35,-2.08,4.7,2.92,21.15,2.94,86
HCM,22/05/2026 00:00,0.96,-49.98,-91.19,-32.51,-2.41,-7.3,-14.23,119.01,-1.38,-0.87,4.4,28.5,3.38,80
ORS,22/05/2026 00:00,0,-0.06,-0.06,-0.01,-2.13,-3.96,-1.76,8.23,0.76,-2.22,-1.49,13.2,2.13,44
CTR,22/05/2026 00:00,-0.03,-20.35,-22.44,-43.26,-2.11,27.85,21.4,52.32,-2,9.54,8.01,93,2.13,97
HVN,22/05/2026 00:00,0,0,0,0,-2.1,-5.52,-42.34,-345.08,-0.95,-1.87,-6.89,20.95,2.1,13
DRC,22/05/2026 00:00,0,0,0,-6.21,-2,-3.26,-15.12,-37.69,-0.8,-2.36,-6.77,12.4,2,48
TPB,22/05/2026 00:00,0.59,-39.08,-107.23,124.12,-1.95,-91.29,-361.76,-544.88,-0.32,-0.96,-4.31,15.55,2.53,38
PAN,22/05/2026 00:00,0.49,0.49,1.53,0.32,-1.5,-16,53.2,133.2,1.4,-0.91,0,32.65,1.99,65
MCH,22/05/2026 00:00,-52.4,-52.4,-51.4,220.09,-1.48,-8.91,-122.62,-284.9,-0.46,-1.95,-6.92,130.4,53.88,64
DHC,22/05/2026 00:00,0,0,-0.85,0.43,-1.23,-6.41,-18.02,-18.68,0.86,-2.35,-3.94,35.35,1.23,22
PVP,22/05/2026 00:00,0,0,0,0,-1.07,-7.86,19.52,22.34,-3.73,-9.07,8.08,18.05,1.07,69
NT2,22/05/2026 00:00,0,-16.83,-21.31,9.84,-1.05,-8.32,-99.34,-35.06,-1.09,-1.94,-11.99,22.75,1.05,55
SHS,22/05/2026 00:00,0,0,0.03,237.96,-1.03,2.53,-76.03,383.42,3.51,0,1.72,17.7,1.03,78
CMG,22/05/2026 00:00,0,0,0.09,17.18,-0.94,-6.06,-30.68,-89.23,0.9,1.62,-0.88,28.15,0.94,76
DIG,22/05/2026 00:00,0,-0.18,-0.28,-2.93,-0.75,-4.63,-67.85,-165.3,-0.74,-9.7,-4.59,13.5,0.75,9
